ProjectName;Project RunDateTime;Replication;Name;Type;Source;Average;Columna1;BatchMeansHalfWidth;Minimum;Maximum;NumberObservations;GroupByKey;RepsRequested;AverageOfAverage;StDevOfAverage;ConfidenceInterval;HalfWidth;MinimumAverage;MaximumAverage;OverallMinimum;OverallMaximum;AverageNumberObservations;SummaryHalfWidth;RepsWithStatObserved;Observed=Requested
Unnamed Project;2025-07-25 11:06:31;1;ATM 1.Queue;Waiting Time;Queue;0.057135938;3.428156285;2E+20;0;0.636642567;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;2;ATM 1.Queue;Waiting Time;Queue;0.080472358;4.828341468;2E+20;0;0.891752453;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;3;ATM 1.Queue;Waiting Time;Queue;0.102828177;6.169690604;2E+20;0;0.914494959;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;4;ATM 1.Queue;Waiting Time;Queue;0.052321523;3.139291358;2E+20;0;0.359302597;255;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;5;ATM 1.Queue;Waiting Time;Queue;0.077767674;4.666060445;2E+20;0;0.477543392;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;6;ATM 1.Queue;Waiting Time;Queue;0.053838039;3.230282317;2E+20;0;0.585271607;234;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;7;ATM 1.Queue;Waiting Time;Queue;0.095092587;5.70555522;2E+20;0;0.661970349;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;8;ATM 1.Queue;Waiting Time;Queue;0.073387228;4.403233686;2E+20;0;0.654747323;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;9;ATM 1.Queue;Waiting Time;Queue;0.060961836;3.657710131;2E+20;0;0.430447747;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;10;ATM 1.Queue;Waiting Time;Queue;0.059094587;3.545675236;2E+20;0;0.458292567;233;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;11;ATM 1.Queue;Waiting Time;Queue;0.069781816;4.18690898;2E+20;0;0.796145225;214;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;12;ATM 1.Queue;Waiting Time;Queue;0.067694312;4.061658718;2E+20;0;0.588968909;231;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;13;ATM 1.Queue;Waiting Time;Queue;0.133717029;8.023021711;2E+20;0;0.954135855;218;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;14;ATM 1.Queue;Waiting Time;Queue;0.080490151;4.829409071;2E+20;0;0.643538011;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;15;ATM 1.Queue;Waiting Time;Queue;0.114512429;6.870745739;2E+20;0;0.757809275;206;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;16;ATM 1.Queue;Waiting Time;Queue;0.074963152;4.497789103;2E+20;0;0.433971304;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;17;ATM 1.Queue;Waiting Time;Queue;0.097957696;5.877461742;2E+20;0;0.759400345;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;18;ATM 1.Queue;Waiting Time;Queue;0.066489039;3.989342365;2E+20;0;0.744307199;220;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;19;ATM 1.Queue;Waiting Time;Queue;0.068351693;4.101101577;2E+20;0;0.455779865;233;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;20;ATM 1.Queue;Waiting Time;Queue;0.073929825;4.435789522;2E+20;0;0.642848266;223;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;21;ATM 1.Queue;Waiting Time;Queue;0.122556937;7.353416226;2E+20;0;0.672218662;208;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;22;ATM 1.Queue;Waiting Time;Queue;0.056978459;3.418707563;2E+20;0;0.880326621;247;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;23;ATM 1.Queue;Waiting Time;Queue;0.107459595;6.44757571;2E+20;0;0.725756785;224;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;24;ATM 1.Queue;Waiting Time;Queue;0.046260718;2.775643092;2E+20;0;0.296596299;253;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;25;ATM 1.Queue;Waiting Time;Queue;0.053555636;3.21333815;2E+20;0;0.313495985;226;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;26;ATM 1.Queue;Waiting Time;Queue;0.098778819;5.926729154;2E+20;0;0.58622523;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;27;ATM 1.Queue;Waiting Time;Queue;0.030363096;1.821785779;2E+20;0;0.180949113;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;28;ATM 1.Queue;Waiting Time;Queue;0.125931903;7.555914173;2E+20;0;1.156620128;199;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;29;ATM 1.Queue;Waiting Time;Queue;0.054329127;3.259747637;2E+20;0;0.720255831;210;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;30;ATM 1.Queue;Waiting Time;Queue;0.08283001;4.969800621;2E+20;0;0.643172488;224;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;31;ATM 1.Queue;Waiting Time;Queue;0.184485405;11.06912429;2E+20;0;1.352067392;185;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;32;ATM 1.Queue;Waiting Time;Queue;0.128217288;7.693037281;2E+20;0;0.953167444;201;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;33;ATM 1.Queue;Waiting Time;Queue;0.059776229;3.586573714;2E+20;0;0.249521665;240;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;34;ATM 1.Queue;Waiting Time;Queue;0.064840901;3.890454066;2E+20;0;0.835648069;233;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;35;ATM 1.Queue;Waiting Time;Queue;0.029060034;1.743602032;2E+20;0;0.195864148;245;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;36;ATM 1.Queue;Waiting Time;Queue;0.125378829;7.522729747;2E+20;0;0.775031244;199;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;37;ATM 1.Queue;Waiting Time;Queue;0.130547845;7.832870692;2E+20;0;0.813451852;231;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;38;ATM 1.Queue;Waiting Time;Queue;0.091027001;5.461620072;2E+20;0;0.771168729;230;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;39;ATM 1.Queue;Waiting Time;Queue;0.047365417;2.841924998;2E+20;0;0.396721962;243;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;40;ATM 1.Queue;Waiting Time;Queue;0.078737855;4.724271326;2E+20;0;0.659875475;231;Unnamed ProjectATM 1.QueueWaiting TimeQueue;40;0.081981705;0.03252355;0.95;0.010401536;0.029060034;0.184485405;0;1.352067392;225.65;0.010401536;40;1
Unnamed Project;2025-07-25 11:06:31;1;ATM 2.Queue;Waiting Time;Queue;0.073974763;4.4384858;2E+20;0;0.159614494;8;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;2;ATM 2.Queue;Waiting Time;Queue;0.088842169;5.330530159;2E+20;0;0.41094345;37;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;3;ATM 2.Queue;Waiting Time;Queue;0.142876612;8.572596714;2E+20;0;0.341461009;29;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;4;ATM 2.Queue;Waiting Time;Queue;0.032092968;1.925578099;2E+20;0;0.10099202;20;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;5;ATM 2.Queue;Waiting Time;Queue;0.055350914;3.32105486;2E+20;0;0.126642073;20;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;6;ATM 2.Queue;Waiting Time;Queue;0.039652579;2.379154751;2E+20;0;0.147114623;14;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;7;ATM 2.Queue;Waiting Time;Queue;0.034953091;2.097185441;2E+20;0;0.102017887;27;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;8;ATM 2.Queue;Waiting Time;Queue;0.029007256;1.740435332;2E+20;0;0.116968531;27;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;9;ATM 2.Queue;Waiting Time;Queue;0.017704683;1.062280995;2E+20;0;0.080115754;12;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;10;ATM 2.Queue;Waiting Time;Queue;0.149376088;8.96256528;2E+20;0;0.379599611;17;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;11;ATM 2.Queue;Waiting Time;Queue;0.16925179;10.15510738;2E+20;0;0.362815554;27;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;12;ATM 2.Queue;Waiting Time;Queue;0.047181764;2.830905813;2E+20;0;0.124556213;26;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;13;ATM 2.Queue;Waiting Time;Queue;0.129913934;7.79483605;2E+20;0;0.354795484;60;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;14;ATM 2.Queue;Waiting Time;Queue;0.081466675;4.888000529;2E+20;0;0.312638237;37;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;15;ATM 2.Queue;Waiting Time;Queue;0.048179289;2.890757358;2E+20;0;0.165165557;45;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;16;ATM 2.Queue;Waiting Time;Queue;0.036850489;2.211029311;2E+20;0;0.092786603;9;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;17;ATM 2.Queue;Waiting Time;Queue;0.051715782;3.10294693;2E+20;0;0.147809014;38;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
Unnamed Project;2025-07-25 11:06:31;18;ATM 2.Queue;Waiting Time;Queue;0.024692282;1.481536943;2E+20;0;0.169466395;18;Unnamed ProjectATM 2.QueueWaiting TimeQueue;40;0.066591407;0.047048469;0.95;0.015464447;0.011089863;0.16925179;0;0.927989563;26.21052632;0.015464447;38;0
